time,NonStackSideLevelcm
1510276200,0
1510276500,0
1510276800,0
1510277100,0
1510277400,21.5
1510278180,31.2
1510278600,35.5
1510278900,40.2
1510279200,45.3
1510279500,51.7
1510279980,61.3
1510280400,70
1510280820,77.8
1510281060,77.9
1510322400,74
1510325040,73.5
1510330140,94.3
1510332360,118.3
1510334280,120.5
1510338420,117.4
1510342380,117.7
1510344360,117.7
1510347360,117
1510351980,107.6
1510354260,103.3
1510358220,98.4
1510360740,95.8
1510362540,94.3
1510366380,92.6
1510368720,92
1510409040,85.5
1510412520,83.1
1510416120,81.4
1510420260,80.9
1510421760,80.7
1510423800,80.4
1510426680,80
1510431300,79.5
1510432680,79.4
1510436940,78.9
1510449000,75.6
1510456860,73.5
1510458240,73.5
1510499880,67.5
1510502580,66.9
1510505040,66.6
1510510200,98
1510511340,111
1510514880,121.8
1510518060,102.8
1510519140,117.9
1510521540,118.4
1510524720,120.3
1510525620,136.9
1510526640,136.9
1510527240,136.9
1510527900,136.9
1510528680,118.5
1510529940,115.2
1510530420,111.1
1510530900,118
1510533300,117.7
1510581240,88.2
1510584360,87.6
1510592700,86.3
1510607820,83.6
1510613700,82.4
1510667160,73.4
1510677780,71.7
1510686000,70.2
1510692240,68.6
1510698780,68.2
1510754520,63.5
1510768440,61.7
1510773360,60.8
1510776480,60.3
1510781220,59.4
1510840800,50.9
1510857300,62.6
1510861800,62.4
1510941780,51.7
1510950180,50.6
1511188920,24.1
